Age,Height,FCVC,NCP,CH2O,FAF,TUE,family_history_with_overweight,FAVC,CAEC,SMOKE,SCC,CALC,MTRANS,NObeyesdad
20.738469,1.759933,2.627031,3.832911,2.993448,2.0,1.425903,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
29.721964,1.918859,2.041376,3.0,1.120213,1.05545,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
24.825393,1.603501,2.996186,1.134042,1.270166,0.073065,1.551934,1,1,Sometimes,0,0,no,Public_Transport_Walking,1.0
20.81158,1.741193,3.0,3.0,1.768111,0.616503,0.968151,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
18.0,1.77,3.0,3.0,2.0,1.0,1.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
40.106145,1.760175,2.032883,2.976211,1.726109,0.477855,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
21.0,1.754813,2.915279,1.104642,1.530046,1.360635,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
24.001196,1.603091,3.0,1.02075,1.0,0.233056,1.707421,1,1,Sometimes,0,0,no,Public_Transport_Walking,1.0
26.0,1.639524,3.0,3.0,2.739351,0.0,0.064769,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
17.0,1.8,2.0,3.0,1.0,2.0,1.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.017383,1.752391,3.0,1.0,2.0,2.57223,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,0.0
19.0,1.85,2.0,3.0,3.0,2.0,1.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,0.0
19.0,1.779882,1.078529,1.211606,2.568063,3.0,0.817983,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
21.938831,1.611239,1.906194,3.987707,2.597746,1.922234,1.376124,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
25.908431,1.607128,3.0,3.0,1.077253,0.162083,0.824607,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
23.0,1.715118,2.0,1.976744,1.628997,0.880584,1.127675,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
19.0,1.69,2.0,1.0,2.0,2.0,0.0,1,0,Sometimes,0,0,no,Public_Transport_Walking,0.0
21.0,1.618148,1.142468,3.0,2.197732,0.827506,0.572877,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
18.0,1.8,2.0,3.0,1.0,0.0,1.0,1,1,Frequently_Always,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
18.871917,1.755254,2.0,1.095223,2.474132,2.876696,0.7939,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
40.174191,1.763029,2.046651,2.842035,1.732072,0.584272,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
24.122589,1.856759,1.116068,2.449067,2.0,0.92635,1.97117,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.016849,1.724268,3.0,3.0,1.650612,1.537639,0.912457,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
18.312665,1.60074,2.501236,3.0,1.220331,0.245003,0.537202,1,1,Sometimes,0,0,no,Public_Transport_Walking,1.0
18.0,1.82,2.0,3.0,2.0,3.0,2.0,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
21.0,1.68,3.0,3.0,3.0,0.0,2.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.682636,1.818641,2.078082,3.0,2.895614,0.06275,0.261793,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
21.963787,1.849601,3.0,2.218285,1.340117,0.428259,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
21.030909,1.71818,3.0,3.0,1.517215,1.486289,0.937492,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
23.0,1.72,2.0,1.0,1.0,1.0,1.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
29.633715,1.834842,2.805533,3.0,1.882847,2.0,0.70778,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
21.0,1.617469,1.206276,3.0,2.406541,0.94984,0.479221,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.0,1.62,2.0,1.0,3.0,1.0,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
27.0,1.93,2.0,1.0,1.0,1.0,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
29.463168,1.659172,2.0,3.0,1.281683,1.609801,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,0.0
18.281092,1.7,1.036414,3.205587,1.745959,0.115974,1.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
26.1035118,1.7421669999999998,2.7592032,3.0,2.3445418,1.3990618000000001,1.014808,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
19.054938,1.585886,2.910345,3.0,1.0,1.461005,0.0,0,0,Frequently_Always,0,1,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
26.0,1.75,3.0,1.0,2.0,2.0,0.0,1,1,Frequently_Always,1,1,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.0,1.754497,2.446872,2.372311,1.81031,0.094893,1.650778,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
18.863875,1.560029,3.0,3.339914,2.0,1.0,1.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
51.0,1.59,3.0,3.0,3.0,2.0,0.0,1,0,Sometimes,1,1,no,Public_Transport_Walking,0.0
20.0,1.67,3.0,3.0,2.0,3.0,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
23.0,1.62,2.0,3.0,1.0,1.0,0.0,0,0,Sometimes,0,0,no,Public_Transport_Walking,0.0
21.996523,1.733263,3.0,3.765526,1.656082,0.42777,0.555967,0,0,Frequently_Always,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
22.679454,1.62826,2.274491,1.0,2.2695,0.946461,1.73107,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
39.759575,1.792507,2.33361,2.113575,2.504136,2.998981,1.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
21.768153,1.76416,3.0,3.0,2.32502,1.441791,0.918468,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
23.0,1.8,2.0,3.0,3.0,0.0,1.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
24.5822,1.769933,1.475906,2.999346,2.01943,1.046878,0.460866,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
17.671064,1.854706,2.707666,3.737914,2.026547,2.009397,0.613971,1,1,Sometimes,0,0,no,other_vehicles,0.0
18.0,1.721854,2.33998,3.0,2.0,0.027433,1.884138,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
25.991194,1.618348,3.0,3.0,2.45126,0.043689,0.670402,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
23.0,1.8,1.0,3.0,2.0,0.0,2.0,1,1,Frequently_Always,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.0,1.62,2.0,1.0,3.0,1.0,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
19.084967,1.768435,3.0,3.725797,1.191401,2.0,1.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
24.362124,1.716677,2.0,2.676148,2.083939,0.632164,0.993786,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
38.523646,1.765836,2.177896,2.987652,1.745095,0.656548,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
31.56724,1.753327,2.232836,3.0,2.146398,0.886817,0.47787,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
23.0,1.75,2.0,3.0,2.0,1.0,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
21.0,1.62,2.0,3.0,2.0,0.0,1.0,1,0,Sometimes,0,0,no,Public_Transport_Walking,0.0
30.421596,1.7363686,2.0,3.0,1.984323,0.793262,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
19.88036,1.670635,2.88626,3.559841,1.632004,2.0,1.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
25.962949,1.623812,3.0,3.0,2.395387,0.000272,0.461532,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
19.816228,1.507853,2.568063,3.0,1.817983,0.0,0.0,0,1,Sometimes,0,1,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
18.094079,1.723328,1.052699,3.998618,1.0,2.0,1.0,0,1,Frequently_Always,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
22.547298,1.722461,2.663421,3.0,1.04111,0.794402,1.391948,1,1,Frequently_Always,0,0,no,Public_Transport_Walking,0.0
17.469417,1.798645,2.336044,4.0,2.0,2.0,0.133005,1,1,Sometimes,0,0,no,other_vehicles,0.0
17.767432,1.74379,1.344854,4.0,1.0,2.0,1.0,0,1,Frequently_Always,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
17.06713,1.896734,2.842102,3.34175,2.0,2.511157,0.560351,1,1,Sometimes,0,0,no,other_vehicles,0.0
33.009285,1.741192,2.0,3.0,2.035954,1.210736,0.0,1,1,Sometimes,0,0,no,other_vehicles,0.0
20.0,1.67,2.0,1.0,3.0,0.0,0.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,0.0
21.72738,1.783782,2.044326,3.0,2.35818,0.349371,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
20.654752,1.780791,2.0,3.0,1.613829,1.251665,0.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
23.245408,1.707968,2.5621,3.105007,1.172427,0.184917,0.923082,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
18.026457,1.752123,2.0,2.794156,2.377362,0.101236,0.105895,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
22.867719,1.655413,3.0,3.642802,1.995177,0.118271,0.065515,1,1,Frequently_Always,0,0,no,Public_Transport_Walking,0.0
18.503343,1.683124,3.0,3.0,1.115967,1.541072,1.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
18.845518,1.753471,2.0,1.391778,2.64548,2.685087,0.97554,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
18.0,1.62,3.0,3.0,1.0,0.0,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,0.0
20.803186,1.882533,2.0,2.18162,2.325091,0.891444,1.223661,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
21.731497,1.696201,2.109162,3.245148,2.0241422,1.229608,0.791935,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
20.0,1.65,2.0,3.0,2.0,3.0,1.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
19.408999,1.670552,2.794197,3.409363,1.543021,2.0,1.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
25.509034,1.77219,2.19331,3.0,2.089983,1.360994,0.857438,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
30.916426,1.781139,2.111887,3.0,2.357373,0.425621,1.416353,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
25.994949,1.593321,3.0,3.0,2.447306,0.000454,0.486558,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
24.0,1.6,3.0,1.0,1.0,0.0,2.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
24.002404,1.609418,2.885693,1.685134,1.011849,0.503105,1.217929,1,1,Sometimes,0,0,no,Public_Transport_Walking,1.0
18.532826,1.75091,3.0,3.0,2.372058,1.324805,0.870795,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
31.689773,1.76569,2.821727,3.0,2.173279,1.096556,0.232858,1,1,Sometimes,0,0,Sometimes_Frequently_Always,other_vehicles,1.0
20.880161,1.674327,2.0,3.0,2.0,1.66639,1.443212,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
26.0,1.640125,3.0,3.0,2.625537,0.0,0.162494,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
34.0,1.84,3.0,3.0,1.0,2.0,0.0,0,1,Sometimes,0,1,no,other_vehicles,0.0
21.00829,1.621412,2.0,1.0,2.795651,0.80873,0.0,0,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
25.0,1.78,2.0,1.0,2.0,2.0,1.0,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.0
22.1816854,1.75,2.0,3.0,2.3838504,3.0,2.0,1,0,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,0.8
19.17614,1.666194,3.0,3.0,1.228838,0.792553,0.639561,1,1,Sometimes,0,0,Sometimes_Frequently_Always,Public_Transport_Walking,1.0
18.0,1.647971,2.0,1.411685,1.859089,0.0,1.306,1,1,Sometimes,0,0,no,Public_Transport_Walking,0.0
